Epoch 0, Loss: 0.6141, Accuracy: 0.6756
Epoch 1, Loss: 0.6041, Accuracy: 0.6745
Epoch 2, Loss: 0.6039, Accuracy: 0.6853
Epoch 3, Loss: 0.6035, Accuracy: 0.6838
Epoch 4, Loss: 0.6031, Accuracy: 0.6813
Epoch 5, Loss: 0.6021, Accuracy: 0.6770
Epoch 6, Loss: 0.6032, Accuracy: 0.6543
Epoch 7, Loss: 0.6035, Accuracy: 0.6721
Epoch 8, Loss: 0.6028, Accuracy: 0.6698
Epoch 9, Loss: 0.6028, Accuracy: 0.6705
Epoch 10, Loss: 0.6024, Accuracy: 0.6729
Epoch 11, Loss: 0.6033, Accuracy: 0.6739
Epoch 12, Loss: 0.6028, Accuracy: 0.6756
Epoch 13, Loss: 0.6033, Accuracy: 0.6849
Epoch 14, Loss: 0.6038, Accuracy: 0.6822
Epoch 15, Loss: 0.6037, Accuracy: 0.6845
Epoch 16, Loss: 0.6027, Accuracy: 0.6822
Epoch 17, Loss: 0.6029, Accuracy: 0.6574
Epoch 18, Loss: 0.6029, Accuracy: 0.6834
Epoch 19, Loss: 0.6034, Accuracy: 0.6845
